id,datoid,band,long,lat,read,map,map_rescaled
1,3990,8A,3.0532959733996354,38.95196835509094,4.89,1326.5,0.13265
2,8001,08,4.353189598216177,38.92617579753005,11.64,1308.5,0.13085
3,8415,03,1.7821869152134835,37.564562055628784,2.08,1402,0.1402
4,3909,11,3.053685142445337,39.16178983481679,11.2,1291,0.1291
5,7456,02,4.401159516708858,39.26592878125426,3.64,1600,0.16
6,8478,03,2.3795507732955414,37.64781871390893,2.14,1402,0.1402
7,7946,11,4.131279151770866,38.214639555347745,1.44,1291,0.1291
8,8615,12,2.3346369072297604,37.4341310657873,1.68,1301.5,0.13015
9,4267,05,2.51435143841776,38.63687875120673,0.9,1327.5,0.13275
10,8772,06,1.723364476722814,37.92400739089057,3.55,1296,0.1296
11,5851,8A,3.3228367814484363,37.39834223211015,1.04,1326.5,0.13265
12,7483,04,4.265556179930819,39.19588667431737,4.1,1317,0.1317
13,11338,8A,3.637198070299342,37.75442954882963,1.44,1326.5,0.13265
14,4922,03,2.0038300544712753,38.54558067532716,4.61,1402,0.1402
15,7649,07,3.682124016909064,38.847095828764346,1.2,1298,0.1298
16,7712,8A,4.085048027613488,38.74171417440415,1.47,1326.5,0.13265
17,13556,08,4.4457145318697755,37.967165471261715,5.98,1308.5,0.13085
18,8716,11,1.8565367495598342,37.38178360992163,3.79,1291,0.1291
19,4623,02,2.873630390513152,38.49642528552159,2.35,1600,0.16
20,7526,04,3.816396864309684,39.05658452269509,3.32,1317,0.1317
21,5909,06,3.2777663704696685,37.29152543373899,2.47,1296,0.1296
22,4884,05,1.696246642473949,38.632906993443555,5.53,1327.5,0.13275
23,11250,07,4.176191789839654,37.93180247271064,2.31,1298,0.1298
24,3872,04,2.5868231730844395,39.08670663407642,4.9,1317,0.1317
25,5918,08,2.693964433029196,37.255590679437866,2.81,1308.5,0.13085
26,5200,05,2.469383747096785,38.00260150645255,0,1327.5,0.13275
27,4415,8A,2.249572917693687,39.26789549010638,5.04,1326.5,0.13265
28,13489,04,4.49062980469729,38.14388665798745,3.21,1317,0.1317
29,7956,8A,3.951650362980105,38.143912126982855,1.39,1326.5,0.13265
30,4814,02,2.783794986769064,37.96719983306571,1.01,1600,0.16
31,4594,05,2.1202019001173995,39.05536143226139,10.57,1327.5,0.13275
32,8072,04,3.457546403214925,39.16123735063539,2.81,1317,0.1317
33,4768,04,2.3317782847393738,37.995805608724794,3.6,1317,0.1317
34,8287,06,3.4787747225609813,39.22351599217126,4.99,1296,0.1296
35,7736,06,4.355864181057675,38.707027559218,4.03,1296,0.1296
36,5048,07,2.055474595414031,38.12007026050047,1.93,1298,0.1298
37,11176,02,3.5473663909704216,38.0379853114323,3.09,1600,0.16
38,13385,02,4.98472479658099,38.17934346032128,0.77,1600,0.16
39,4549,05,1.9298409449154696,38.72555363862536,8.68,1327.5,0.13275
40,3739,04,2.604130259078732,38.84710034836293,2.98,1317,0.1317
41,8938,05,2.0155622236600954,37.658922096323714,1.21,1327.5,0.13275
42,7888,12,4.221113473943352,38.46125408193701,5.03,1301.5,0.13015
43,4893,8A,2.0994865798840148,38.610306982383904,7.72,1326.5,0.13265
44,7999,03,4.464049313905298,39.2127868352781,4.07,1402,0.1402
45,8091,12,3.1431310780047337,39.09155063803958,3.57,1301.5,0.13015
46,3840,04,2.6041272398410613,39.23064570851215,2.03,1317,0.1317
47,4045,02,2.2895904956421234,38.777116798584245,3.72,1600,0.16
48,8434,02,2.004851293422243,37.51428163869602,1.63,1600,0.16
49,13233,03,5.056715100730712,38.573489844845426,15.87,1402,0.1402
50,8863,03,2.0225624461229086,37.40835136227253,2.33,1402,0.1402
51,7792,05,3.8168728070185707,38.56669538082348,1.88,1327.5,0.13275
52,7619,11,4.041382009512247,38.917238635313936,3.24,1291,0.1291
53,7499,11,4.086373431628082,39.12639499915893,4.66,1291,0.1291
54,13473,07,4.6254025753333075,38.03797872446467,3.32,1298,0.1298
55,3826,05,2.514303578874368,39.265645222163606,4.64,1327.5,0.13275
56,3866,04,2.8732556376311305,39.19616294096182,2.51,1317,0.1317
57,8753,06,1.7128912505906073,37.28232512671301,4.48,1296,0.1296
58,8782,8A,2.216442775130882,37.89711775068624,1.77,1326.5,0.13265
59,7733,11,4.221116509350697,38.70702861072348,2.24,1291,0.1291
60,13210,8A,4.580487316878836,38.426072997155934,5.96,1326.5,0.13265
61,8353,12,3.188045931319012,38.426084799039465,0.55,1301.5,0.13015
62,13394,8A,4.535356439399979,38.32044863620075,4.1,1326.5,0.13265
63,4575,03,2.078358455929803,38.97252614295487,18.61,1402,0.1402
64,3981,12,2.6490481334273106,38.951968578641576,1.53,1301.5,0.13015
65,5179,11,2.5593858287502655,38.10878085395289,0.59,1291,0.1291
66,11248,02,4.041443618669377,37.931777787176664,0.44,1600,0.16
67,4635,04,3.72703252542249,38.17935319103309,2.84,1317,0.1317
68,4856,08,1.9598243923442615,38.05332899568764,1.76,1308.5,0.13085
69,4832,04,3.0074153682728593,37.929874829236866,1.39,1317,0.1317
70,7962,05,4.316461861942278,39.11509669717739,1.47,1327.5,0.13275
71,3983,06,2.7388804227123074,38.9519686415152,4.36,1296,0.1296
72,4513,02,2.7837951233129874,38.67197682993236,0.73,1600,0.16
73,5880,8A,2.963096640574384,37.3269789411381,5.95,1326.5,0.13265
74,4231,05,3.0083782391882417,38.355675061257905,1.78,1327.5,0.13275
75,8646,11,2.604258031851484,37.32714430111042,1.14,1291,0.1291
76,4383,05,1.674361170463263,38.880344353977826,3.75,1327.5,0.13275
77,7442,08,4.35587639994217,39.300395803630686,2.04,1308.5,0.13085
78,8010,05,4.117163957847477,39.307716523794184,3.32,1327.5,0.13275
79,4075,05,3.0535646621960613,38.42610554557782,1.17,1327.5,0.13275
80,3807,11,2.514303887894826,39.30041172253083,6.24,1291,0.1291
81,5064,8A,2.6041326018849924,38.46126293079493,0.67,1326.5,0.13265
82,4527,8A,2.918545696578333,38.60180838708229,0.28,1326.5,0.13265
83,4273,08,2.6039421734178037,38.601750406062884,0.98,1308.5,0.13085
84,13244,05,4.822104563852671,38.30172750300838,2.15,1327.5,0.13275
85,4596,05,2.0835068382653303,38.76568655126857,6.95,1327.5,0.13275
86,3798,05,2.8287176338667472,39.33515972762309,12.82,1327.5,0.13275
87,5969,08,3.1431167157399713,37.184056106450875,7.69,1308.5,0.13085
88,8914,04,2.200991335425735,37.720101437092154,1.52,1317,0.1317
89,8905,03,1.7976117980238866,37.74244406463057,1.46,1402,0.1402
90,13462,06,5.164385871721378,38.073345501648454,1.27,1296,0.1296
91,5148,04,2.6490473842323636,38.21465117290196,1.56,1317,0.1317
92,7603,02,4.1761761681368625,38.95183452497288,1.61,1600,0.16
93,11317,8A,3.4126637841479868,37.789722391352896,0.29,1326.5,0.13265
94,4745,05,2.188426518698379,38.20880374437918,3.69,1327.5,0.13275
95,4593,04,2.0278135651842195,39.116391599858225,13.33,1317,0.1317
96,13493,12,4.670308873991135,38.144027948981865,0.09,1301.5,0.13015
97,13619,05,4.435303171812871,37.99107011211248,4.82,1327.5,0.13275
98,13362,03,5.164385913942196,38.21464187038907,0.34,1402,0.1402
99,4268,07,2.559258691086419,38.63682258082744,1.02,1298,0.1298
100,7417,04,4.266046531616862,39.36987640843684,2.77,1317,0.1317
101,5984,02,3.0490812703260173,37.147569056632456,5.72,1600,0.16
102,4057,02,2.8737441091432845,38.777061025399405,0.56,1600,0.16
103,7777,12,3.9067032628420733,38.601804399528525,1.53,1301.5,0.13015
104,8115,07,3.0982137067127145,39.02179390195767,3.74,1298,0.1298
105,13535,05,4.311992780234711,38.00401756776988,0.47,1327.5,0.13275
106,4238,12,3.3223382011943903,38.355949304432514,0.41,1301.5,0.13015
107,6018,07,3.16136592965142,37.58768778099858,0.18,1298,0.1298
108,4076,02,3.0981670374370736,38.42670392722679,3.53,1600,0.16
