,band,long,lat,read,map,map_rescaled
0,05,-3.91873286,41.73085176,0.32699,2110,0.21100000000000002
1,05,-4.21574342,42.4457032,0.32699,3551,0.3551
2,05,-3.90045838,41.71978373,0.71247,1869,0.1869
3,05,-3.91329065,41.71975494,0.71247,1687,0.16870000000000002
4,05,-3.91293222,41.72004653,0.71247,1660,0.166
5,05,-3.91068703,41.72007033,0.71247,2207,0.2207
6,05,-3.90207116,41.72022232,0.71247,2180,0.218
7,05,-3.90223436,41.7204992,0.71247,2210,0.221
8,05,-3.9026529,41.72012289,0.71247,2515,0.2515
9,05,-3.90657554,41.72045012,0.71247,1993,0.1993
10,05,-3.91221805,41.72076342,0.71247,2379,0.2379
11,05,-3.91217517,41.72077886,0.71247,2379,0.2379
12,8A,-3.91873286,41.73085176,0.32699,2872,0.2872
13,8A,-4.21574342,42.4457032,0.32699,4313,0.4313
14,8A,-3.90045838,41.71978373,0.71247,2710,0.271
15,8A,-3.91329065,41.71975494,0.71247,2623,0.26230000000000003
16,8A,-3.91293222,41.72004653,0.71247,2736,0.2736
17,8A,-3.91068703,41.72007033,0.71247,3096,0.30960000000000004
18,8A,-3.90207116,41.72022232,0.71247,2958,0.2958
19,8A,-3.90223436,41.7204992,0.71247,3111,0.3111
20,8A,-3.9026529,41.72012289,0.71247,3623,0.3623
21,8A,-3.90657554,41.72045012,0.71247,2649,0.2649
22,8A,-3.91221805,41.72076342,0.71247,3068,0.3068
23,8A,-3.91217517,41.72077886,0.71247,3068,0.3068
24,06,-3.91873286,41.73085176,0.32699,2572,0.25720000000000004
25,06,-4.21574342,42.4457032,0.32699,3992,0.3992
26,06,-3.90045838,41.71978373,0.71247,2244,0.22440000000000002
27,06,-3.91329065,41.71975494,0.71247,2249,0.22490000000000002
28,06,-3.91293222,41.72004653,0.71247,2360,0.23600000000000002
29,06,-3.91068703,41.72007033,0.71247,2609,0.2609
30,06,-3.90207116,41.72022232,0.71247,2642,0.2642
31,06,-3.90223436,41.7204992,0.71247,2693,0.26930000000000004
32,06,-3.9026529,41.72012289,0.71247,3166,0.3166
33,06,-3.90657554,41.72045012,0.71247,2316,0.2316
34,06,-3.91221805,41.72076342,0.71247,2700,0.27
35,06,-3.91217517,41.72077886,0.71247,2700,0.27
36,02,-3.91873286,41.73085176,0.32699,1452,0.1452
37,02,-4.21574342,42.4457032,0.32699,2109,0.2109
38,02,-3.90045838,41.71978373,0.71247,1294,0.12940000000000002
39,02,-3.91329065,41.71975494,0.71247,1194,0.1194
40,02,-3.91293222,41.72004653,0.71247,1209,0.12090000000000001
41,02,-3.91068703,41.72007033,0.71247,1470,0.14700000000000002
42,02,-3.90207116,41.72022232,0.71247,1588,0.1588
43,02,-3.90223436,41.7204992,0.71247,1538,0.15380000000000002
44,02,-3.9026529,41.72012289,0.71247,1781,0.1781
45,02,-3.90657554,41.72045012,0.71247,1440,0.14400000000000002
46,02,-3.91221805,41.72076342,0.71247,1899,0.1899
47,02,-3.91217517,41.72077886,0.71247,1899,0.1899
48,04,-3.91873286,41.73085176,0.32699,1741,0.1741
49,04,-4.21574342,42.4457032,0.32699,3106,0.3106
50,04,-3.90045838,41.71978373,0.71247,1611,0.16110000000000002
51,04,-3.91329065,41.71975494,0.71247,1382,0.13820000000000002
52,04,-3.91293222,41.72004653,0.71247,1380,0.138
53,04,-3.91068703,41.72007033,0.71247,1836,0.1836
54,04,-3.90207116,41.72022232,0.71247,1920,0.192
55,04,-3.90223436,41.7204992,0.71247,1835,0.1835
56,04,-3.9026529,41.72012289,0.71247,2136,0.2136
57,04,-3.90657554,41.72045012,0.71247,1725,0.17250000000000001
58,04,-3.91221805,41.72076342,0.71247,2174,0.2174
59,04,-3.91217517,41.72077886,0.71247,2174,0.2174
60,07,-3.91873286,41.73085176,0.32699,2722,0.2722
61,07,-4.21574342,42.4457032,0.32699,4163,0.4163
62,07,-3.90045838,41.71978373,0.71247,2425,0.24250000000000002
63,07,-3.91329065,41.71975494,0.71247,2466,0.2466
64,07,-3.91293222,41.72004653,0.71247,2594,0.2594
65,07,-3.91068703,41.72007033,0.71247,2766,0.2766
66,07,-3.90207116,41.72022232,0.71247,2784,0.27840000000000004
67,07,-3.90223436,41.7204992,0.71247,2845,0.28450000000000003
68,07,-3.9026529,41.72012289,0.71247,3371,0.3371
69,07,-3.90657554,41.72045012,0.71247,2485,0.2485
70,07,-3.91221805,41.72076342,0.71247,2853,0.2853
71,07,-3.91217517,41.72077886,0.71247,2853,0.2853
72,11,-3.91873286,41.73085176,0.32699,2727,0.2727
73,11,-4.21574342,42.4457032,0.32699,4653,0.46530000000000005
74,11,-3.90045838,41.71978373,0.71247,2719,0.27190000000000003
75,11,-3.91329065,41.71975494,0.71247,2306,0.2306
76,11,-3.91293222,41.72004653,0.71247,2099,0.2099
77,11,-3.91068703,41.72007033,0.71247,3062,0.3062
78,11,-3.90207116,41.72022232,0.71247,2878,0.2878
79,11,-3.90223436,41.7204992,0.71247,2856,0.2856
80,11,-3.9026529,41.72012289,0.71247,3148,0.3148
81,11,-3.90657554,41.72045012,0.71247,2916,0.2916
82,11,-3.91221805,41.72076342,0.71247,2452,0.2452
83,11,-3.91217517,41.72077886,0.71247,2452,0.2452
84,03,-3.91873286,41.73085176,0.32699,1669,0.16690000000000002
85,03,-4.21574342,42.4457032,0.32699,2594,0.2594
86,03,-3.90045838,41.71978373,0.71247,1480,0.14800000000000002
87,03,-3.91329065,41.71975494,0.71247,1369,0.1369
88,03,-3.91293222,41.72004653,0.71247,1382,0.13820000000000002
89,03,-3.91068703,41.72007033,0.71247,1629,0.16290000000000002
90,03,-3.90207116,41.72022232,0.71247,1840,0.184
91,03,-3.90223436,41.7204992,0.71247,1774,0.1774
92,03,-3.9026529,41.72012289,0.71247,2049,0.2049
93,03,-3.90657554,41.72045012,0.71247,1615,0.1615
94,03,-3.91221805,41.72076342,0.71247,2071,0.2071
95,03,-3.91217517,41.72077886,0.71247,2071,0.2071
96,08,-3.91873286,41.73085176,0.32699,2825,0.28250000000000003
97,08,-4.21574342,42.4457032,0.32699,4341,0.43410000000000004
98,08,-3.90045838,41.71978373,0.71247,2541,0.2541
99,08,-3.91329065,41.71975494,0.71247,2518,0.2518
100,08,-3.91293222,41.72004653,0.71247,2558,0.2558
101,08,-3.91068703,41.72007033,0.71247,2856,0.2856
102,08,-3.90207116,41.72022232,0.71247,3013,0.3013
103,08,-3.90223436,41.7204992,0.71247,2768,0.2768
104,08,-3.9026529,41.72012289,0.71247,3487,0.3487
105,08,-3.90657554,41.72045012,0.71247,2434,0.2434
106,08,-3.91221805,41.72076342,0.71247,3109,0.3109
107,08,-3.91217517,41.72077886,0.71247,3109,0.3109
108,12,-3.91873286,41.73085176,0.32699,2027,0.20270000000000002
109,12,-4.21574342,42.4457032,0.32699,4204,0.4204
110,12,-3.90045838,41.71978373,0.71247,2058,0.2058
111,12,-3.91329065,41.71975494,0.71247,1702,0.17020000000000002
112,12,-3.91293222,41.72004653,0.71247,1603,0.1603
113,12,-3.91068703,41.72007033,0.71247,2290,0.229
114,12,-3.90207116,41.72022232,0.71247,2117,0.2117
115,12,-3.90223436,41.7204992,0.71247,2105,0.21050000000000002
116,12,-3.9026529,41.72012289,0.71247,2262,0.2262
117,12,-3.90657554,41.72045012,0.71247,2276,0.22760000000000002
118,12,-3.91221805,41.72076342,0.71247,1916,0.19160000000000002
119,12,-3.91217517,41.72077886,0.71247,1916,0.19160000000000002
