"provincia","count","lc0_desc","lc1_desc","lu1_desc"
"A Coruña","4","Woodland","Broadleaved woodland","Forestry"
"A Coruña","2","Woodland","Other mixed woodland","Forestry"
"A Coruña","1","Grassland","Spontaneously re-vegetated surfaces","Other abandoned areas"
"A Coruña","1","Cropland","Temporary grassland","Agriculture (excluding fallow land and kitchen gardens)"
"A Coruña","1","Woodland","Pine dominated mixed woodland","Forestry"
"A Coruña","1","Shrubland","Shrubland without tree cover","Forestry"
"Álava","20","Woodland","Broadleaved woodland","Forestry"
"Álava","19","Cropland","Common wheat","Agriculture (excluding fallow land and kitchen gardens)"
"Álava","12","Woodland","Pine dominated coniferous woodland","Forestry"
"Álava","12","Cropland","Vineyards","Agriculture (excluding fallow land and kitchen gardens)"
"Álava","10","Cropland","Barley","Agriculture (excluding fallow land and kitchen gardens)"
"Álava","8","Grassland","Grassland without tree/shrub cover","Agriculture (excluding fallow land and kitchen gardens)"
"Álava","5","Cropland","Sunflower","Agriculture (excluding fallow land and kitchen gardens)"
"Álava","3","Grassland","Spontaneously re-vegetated surfaces","Agriculture (excluding fallow land and kitchen gardens)"
"Álava","3","Shrubland","Shrubland without tree cover","Semi-natural and natural areas not in use"
"Álava","3","Cropland","Dry pulses","Agriculture (excluding fallow land and kitchen gardens)"
"Álava","3","Shrubland","Shrubland without tree cover","Agriculture (excluding fallow land and kitchen gardens)"
"Álava","2","Woodland","Pine dominated mixed woodland","Forestry"
"Álava","2","Cropland","Nuts trees","Agriculture (excluding fallow land and kitchen gardens)"
"Álava","2","Grassland","Grassland without tree/shrub cover","Semi-natural and natural areas not in use"
"Álava","2","Grassland","Grassland with sparse tree/shrub cover","Agriculture (excluding fallow land and kitchen gardens)"
"Álava","1","Cropland","Oats","Agriculture (excluding fallow land and kitchen gardens)"
"Álava","1","Woodland","Broadleaved woodland","Semi-natural and natural areas not in use"
"Álava","1","Shrubland","Shrubland without tree cover","Energy production"
"Álava","1","Bareland","Other bare soil","Agriculture (excluding fallow land and kitchen gardens)"
"Álava","1","Grassland","Grassland with sparse tree/shrub cover","Forestry"
"Álava","1","Shrubland","Shrubland with sparse tree cover","Semi-natural and natural areas not in use"
"Álava","1","Cropland","Cherry fruit","Agriculture (excluding fallow land and kitchen gardens)"
"Álava","1","Cropland","Olive groves","Agriculture (excluding fallow land and kitchen gardens)"
"Álava","1","Bareland","Other bare soil","Fallow land"
"Álava","1","Woodland","Pine dominated coniferous woodland","Semi-natural and natural areas not in use"
"Albacete","28","Cropland","Barley","Agriculture (excluding fallow land and kitchen gardens)"
"Albacete","14","Cropland","Vineyards","Agriculture (excluding fallow land and kitchen gardens)"
"Albacete","10","Cropland","Nuts trees","Agriculture (excluding fallow land and kitchen gardens)"
"Albacete","8","Bareland","Other bare soil","Fallow land"
"Albacete","8","Cropland","Dry pulses","Agriculture (excluding fallow land and kitchen gardens)"
"Albacete","8","Cropland","Oats","Agriculture (excluding fallow land and kitchen gardens)"
"Albacete","7","Woodland","Pine dominated coniferous woodland","Semi-natural and natural areas not in use"
"Albacete","6","Woodland","Pine dominated coniferous woodland","Forestry"
"Albacete","6","Cropland","Durum wheat","Agriculture (excluding fallow land and kitchen gardens)"
"Albacete","6","Grassland","Spontaneously re-vegetated surfaces","Fallow land"
"Albacete","5","Cropland","Olive groves","Agriculture (excluding fallow land and kitchen gardens)"
"Albacete","4","Woodland","Broadleaved woodland","Semi-natural and natural areas not in use"
"Albacete","3","Cropland","Sunflower","Agriculture (excluding fallow land and kitchen gardens)"
"Albacete","2","Woodland","Broadleaved woodland","Forestry"
"Albacete","2","Cropland","Common wheat","Agriculture (excluding fallow land and kitchen gardens)"
"Albacete","2","Grassland","Spontaneously re-vegetated surfaces","Agriculture (excluding fallow land and kitchen gardens)"
"Albacete","1","Woodland","Pine dominated mixed woodland","Semi-natural and natural areas not in use"
"Albacete","1","Woodland","Other mixed woodland","Semi-natural and natural areas not in use"
"Albacete","1","Cropland","Other fruit trees and berries","Agriculture (excluding fallow land and kitchen gardens)"
"Albacete","1","Grassland","Grassland without tree/shrub cover","Semi-natural and natural areas not in use"
"Albacete","1","Cropland","Cherry fruit","Agriculture (excluding fallow land and kitchen gardens)"
"Albacete","1","Woodland","Pine dominated mixed woodland","Forestry"
"Albacete","1","Cropland","Maize","Agriculture (excluding fallow land and kitchen gardens)"
"Albacete","1","Shrubland","Shrubland without tree cover","Semi-natural and natural areas not in use"
"Albacete","1","Grassland","Grassland without tree/shrub cover","Agriculture (excluding fallow land and kitchen gardens)"
"Albacete","1","Cropland","Mix of cereals","Agriculture (excluding fallow land and kitchen gardens)"
"Albacete","1","Cropland","Lucerne","Agriculture (excluding fallow land and kitchen gardens)"
"Albacete","1","Cropland","Other Leguminous  and mixtures for fodder","Agriculture (excluding fallow land and kitchen gardens)"
"Alicante / Alacant","3","Grassland","Spontaneously re-vegetated surfaces","Fallow land"
"Alicante / Alacant","2","Woodland","Pine dominated coniferous woodland","Semi-natural and natural areas not in use"
"Alicante / Alacant","1","Grassland","Grassland with sparse tree/shrub cover","Semi-natural and natural areas not in use"
"Alicante / Alacant","1","Cropland","Olive groves","Agriculture (excluding fallow land and kitchen gardens)"
"Alicante / Alacant","1","Bareland","Other bare soil","Fallow land"
"Alicante / Alacant","1","Shrubland","Shrubland without tree cover","Semi-natural and natural areas not in use"
"Almería","5","Woodland","Pine dominated coniferous woodland","Forestry"
"Almería","4","Shrubland","Shrubland without tree cover","Semi-natural and natural areas not in use"
"Almería","4","Cropland","Nuts trees","Agriculture (excluding fallow land and kitchen gardens)"
"Almería","1","Cropland","Olive groves","Agriculture (excluding fallow land and kitchen gardens)"
"Almería","1","Woodland","Pine dominated coniferous woodland","Semi-natural and natural areas not in use"
"Almería","1","Woodland","Broadleaved woodland","Semi-natural and natural areas not in use"
"Asturias","18","Grassland","Grassland without tree/shrub cover","Agriculture (excluding fallow land and kitchen gardens)"
"Asturias","7","Woodland","Broadleaved woodland","Forestry"
"Asturias","3","Woodland","Broadleaved woodland","Semi-natural and natural areas not in use"
"Asturias","3","Shrubland","Shrubland without tree cover","Semi-natural and natural areas not in use"
"Asturias","3","Shrubland","Shrubland with sparse tree cover","Semi-natural and natural areas not in use"
"Asturias","2","Woodland","Broadleaved woodland","Agriculture (excluding fallow land and kitchen gardens)"
"Asturias","1","Grassland","Grassland with sparse tree/shrub cover","Semi-natural and natural areas not in use"
"Asturias","1","Grassland","Grassland with sparse tree/shrub cover","Agriculture (excluding fallow land and kitchen gardens)"
"Asturias","1","Grassland","Grassland without tree/shrub cover","Semi-natural and natural areas not in use"
"Asturias","1","Shrubland","Shrubland without tree cover","Agriculture (excluding fallow land and kitchen gardens)"
"Asturias","1","Grassland","Grassland without tree/shrub cover","Residential"
"Asturias","1","Cropland","Temporary grassland","Agriculture (excluding fallow land and kitchen gardens)"
"Asturias","1","Shrubland","Shrubland with sparse tree cover","Other primary production"
"Ávila","12","Grassland","Grassland without tree/shrub cover","Agriculture (excluding fallow land and kitchen gardens)"
"Ávila","10","Woodland","Broadleaved woodland","Forestry"
"Ávila","9","Shrubland","Shrubland without tree cover","Agriculture (excluding fallow land and kitchen gardens)"
"Ávila","7","Bareland","Other bare soil","Fallow land"
"Ávila","7","Cropland","Barley","Agriculture (excluding fallow land and kitchen gardens)"
"Ávila","4","Cropland","Sunflower","Agriculture (excluding fallow land and kitchen gardens)"
"Ávila","4","Grassland","Grassland with sparse tree/shrub cover","Agriculture (excluding fallow land and kitchen gardens)"
"Ávila","4","Cropland","Common wheat","Agriculture (excluding fallow land and kitchen gardens)"
"Ávila","2","Grassland","Spontaneously re-vegetated surfaces","Agriculture (excluding fallow land and kitchen gardens)"
"Ávila","2","Grassland","Spontaneously re-vegetated surfaces","Fallow land"
"Ávila","2","Grassland","Spontaneously re-vegetated surfaces","Semi-natural and natural areas not in use"
"Ávila","2","Cropland","Rye","Agriculture (excluding fallow land and kitchen gardens)"
"Ávila","2","Cropland","Vineyards","Agriculture (excluding fallow land and kitchen gardens)"
"Ávila","1","Cropland","Lucerne","Agriculture (excluding fallow land and kitchen gardens)"
"Ávila","1","Woodland","Pine dominated coniferous woodland","Semi-natural and natural areas not in use"
"Ávila","1","Cropland","Other Leguminous  and mixtures for fodder","Agriculture (excluding fallow land and kitchen gardens)"
"Ávila","1","Cropland","Other root crops","Agriculture (excluding fallow land and kitchen gardens)"
"Ávila","1","Woodland","Pine dominated mixed woodland","Semi-natural and natural areas not in use"
"Ávila","1","Grassland","Grassland without tree/shrub cover","Semi-natural and natural areas not in use"
"Ávila","1","Cropland","Durum wheat","Agriculture (excluding fallow land and kitchen gardens)"
"Ávila","1","Shrubland","Shrubland with sparse tree cover","Semi-natural and natural areas not in use"
"Ávila","1","Cropland","Mix of cereals","Agriculture (excluding fallow land and kitchen gardens)"
"Ávila","1","Grassland","Grassland with sparse tree/shrub cover","Semi-natural and natural areas not in use"
"Ávila","1","Cropland","Oats","Agriculture (excluding fallow land and kitchen gardens)"
"Ávila","1","Woodland","Broadleaved woodland","Semi-natural and natural areas not in use"
"Ávila","1","Woodland","Other coniferous woodland","Semi-natural and natural areas not in use"
"Ávila","1","Woodland","Pine dominated coniferous woodland","Forestry"
"Ávila","1","Shrubland","Shrubland with sparse tree cover","Agriculture (excluding fallow land and kitchen gardens)"
"Badajoz","23","Woodland","Broadleaved woodland","Forestry"
